NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
01014002;ARBENT;46.278167;5.669000;534;20230101;0.0;1;11.6;1;115;9;17.7;1;1123;9;14.3;1;14.7;1;6.1;1;;;;;0;9;4.8;1;;;6.8;1;160;1;947;9;14.8;1;200;9;1943;9;;;;;;;13.6;9;;;1135;9;;
01014002;ARBENT;46.278167;5.669000;534;20230102;11.0;1;8.6;1;1746;9;14.3;1;846;9;11.5;1;11.5;1;5.7;1;;;;;0;9;3.0;1;;;6.3;1;200;1;1001;9;14.4;1;180;1;954;9;;;;;;;12.0;9;;;955;9;;
01014002;ARBENT;46.278167;5.669000;534;20230103;0.4;1;1.8;1;1733;9;10.8;1;1303;9;6.2;1;6.3;1;9.0;1;;;;;0;9;0.7;1;;;2.2;1;310;1;817;9;3.7;1;320;1;1308;9;;;;;;;3.2;9;;;739;9;;
01014002;ARBENT;46.278167;5.669000;534;20230104;10.6;1;1.0;1;712;9;8.6;1;1401;9;5.1;1;4.8;1;7.6;1;;;;;0;9;0.6;1;;;2.9;1;330;1;1238;9;4.2;1;320;1;1232;9;;;;;;;3.9;9;;;1232;9;;
01014002;ARBENT;46.278167;5.669000;534;20230105;3.4;1;6.9;1;1816;9;10.8;1;1331;9;8.7;1;8.9;1;3.9;1;;;;;0;9;0.8;1;;;2.1;1;320;1;1418;9;3.2;1;210;1;258;9;;;;;;;3.0;9;;;258;9;;
01014002;ARBENT;46.278167;5.669000;534;20230106;0.0;1;5.6;1;814;9;8.6;1;1159;9;7.2;1;7.1;1;3.0;1;;;;;0;9;1.1;1;;;3.8;1;140;9;2342;9;6.9;1;140;9;2336;9;;;;;;;6.4;9;;;2336;9;;
01014002;ARBENT;46.278167;5.669000;534;20230107;8.0;1;6.7;1;2209;9;13.8;1;1241;9;10.1;1;10.3;1;7.1;1;;;;;0;9;4.6;1;;;7.6;1;180;9;2009;9;18.0;1;170;9;2009;9;;;;;;;16.1;9;;;2009;9;;
01014002;ARBENT;46.278167;5.669000;534;20230108;17.8;1;7.3;1;455;9;10.7;1;1300;9;9.1;1;9.0;1;3.4;1;;;;;0;9;3.3;1;;;6.7;1;170;1;206;9;14.4;1;170;1;204;9;;;;;;;13.2;9;;;204;9;;
01014002;ARBENT;46.278167;5.669000;534;20230109;9.6;1;1.6;1;1302;9;5.0;1;1150;9;4.0;1;3.3;1;3.4;1;;;;;0;9;2.0;1;;;6.8;1;280;1;16;9;17.0;1;310;1;12;9;;;;;;;15.7;9;;;12;9;;
01014002;ARBENT;46.278167;5.669000;534;20230110;0.0;1;2.0;1;124;9;7.6;1;1311;9;4.7;1;4.8;1;5.6;1;;;;;0;9;1.8;1;;;4.6;1;140;1;1110;9;8.9;1;180;1;1301;9;;;;;;;7.5;9;;;14;9;;
01014002;ARBENT;46.278167;5.669000;534;20230111;4.2;1;3.5;1;410;9;8.3;1;1055;9;5.5;1;5.9;1;4.8;1;;;;;0;9;1.3;1;;;4.5;1;320;1;258;9;8.1;1;320;1;1114;9;;;;;;;7.8;9;;;1114;9;;
01014002;ARBENT;46.278167;5.669000;534;20230112;2.0;1;1.2;1;2113;9;9.5;1;1405;9;5.7;1;5.4;1;8.3;1;;;;;0;9;1.7;1;;;4.4;1;150;1;1303;9;9.8;1;130;1;1257;9;;;;;;;9.2;9;;;1257;9;;
01014002;ARBENT;46.278167;5.669000;534;20230113;7.0;1;3.6;1;2232;9;9.5;1;1017;9;6.0;1;6.6;1;5.9;1;;;;;0;9;2.0;1;;;5.1;1;160;1;356;9;12.2;1;210;1;537;9;;;;;;;10.3;9;;;504;9;;
01014002;ARBENT;46.278167;5.669000;534;20230114;9.2;1;1.4;1;745;9;11.6;1;1959;9;7.4;1;6.5;1;10.2;1;;;;;0;9;2.7;1;;;7.5;1;150;9;2347;9;16.0;1;140;9;2342;9;;;;;;;13.1;9;;;2343;9;;
01014002;ARBENT;46.278167;5.669000;534;20230115;11.6;1;1.7;1;1108;9;10.7;1;617;9;4.8;1;6.2;1;9.0;1;;;;;0;9;2.8;1;;;7.4;1;160;1;28;9;15.5;1;140;1;24;9;;;;;;;14.0;9;;;24;9;;
01014002;ARBENT;46.278167;5.669000;534;20230116;8.6;1;0.4;1;2235;9;6.0;1;1037;9;2.9;1;3.2;1;5.6;1;;;;;3;9;4.5;1;;;10.2;1;150;1;538;9;18.2;1;150;1;535;9;;;;;;;16.7;9;;;437;9;;
01014002;ARBENT;46.278167;5.669000;534;20230117;7.0;1;-1.1;1;231;9;4.1;1;1322;9;0.9;1;1.5;1;5.2;1;;;;;447;9;1.2;1;;;5.8;1;200;1;1139;9;11.4;1;160;1;1002;9;;;;;;;10.7;9;;;1002;9;;
01014002;ARBENT;46.278167;5.669000;534;20230118;1.6;1;-1.8;1;1715;9;0.7;1;1146;9;-1.4;1;-0.6;1;2.5;1;;;;;829;9;1.3;1;;;4.6;1;330;1;1119;9;8.3;1;340;1;1118;9;;;;;;;7.9;9;;;1118;9;;
01014002;ARBENT;46.278167;5.669000;534;20230119;0.0;1;-10.7;1;46;9;2.5;1;1413;9;-5.3;1;-4.1;1;13.2;1;;;;;1317;9;0.8;1;;;3.1;1;10;9;2342;9;5.6;1;10;9;2247;9;;;;;;;5.2;9;;;2247;9;;
01014002;ARBENT;46.278167;5.669000;534;20230120;0.0;1;-15.7;1;612;9;4.5;1;1213;9;-5.6;1;-5.6;1;20.2;1;;;;;1183;9;0.7;1;;;3.1;1;320;9;2348;9;4.7;1;320;9;2345;9;;;;;;;4.2;9;;;2346;9;;
01014002;ARBENT;46.278167;5.669000;534;20230121;0.0;1;-11.2;1;609;9;1.2;1;1317;9;-4.1;1;-5.0;1;12.4;1;;;;;1379;9;3.4;1;;;9.8;1;10;1;1228;9;16.0;1;20;1;1222;9;;;;;;;14.1;9;;;1222;9;;
01014002;ARBENT;46.278167;5.669000;534;20230122;0.0;1;-5.5;1;424;9;-1.1;1;1328;9;-2.3;1;-3.3;1;4.4;1;;;;;1440;9;3.6;1;;;6.0;1;340;1;14;9;9.7;1;350;1;136;9;;;;;;;9.1;9;;;1425;9;;
01014002;ARBENT;46.278167;5.669000;534;20230123;0.0;1;-6.2;1;825;9;1.3;1;1045;9;-1.7;1;-2.5;1;7.5;1;;;;;1117;9;1.2;1;;;5.1;1;360;1;1223;9;8.3;1;20;1;1222;9;;;;;;;7.5;9;;;1218;9;;
01014002;ARBENT;46.278167;5.669000;534;20230124;0.2;1;-9.2;1;327;9;4.1;1;1422;9;-3.8;1;-2.6;1;13.3;1;;;;;1157;9;0.6;1;;;2.8;1;320;1;1439;9;3.3;1;330;1;1431;9;;;;;;;3.3;9;;;1431;9;;
01014002;ARBENT;46.278167;5.669000;534;20230125;0.0;1;-7.1;1;2038;9;1.8;1;1329;9;-1.0;1;-2.7;1;8.9;1;;;;;916;9;0.8;1;;;2.8;1;330;1;349;9;4.6;1;320;1;347;9;;;;;;;4.3;9;;;347;9;;
01014002;ARBENT;46.278167;5.669000;534;20230126;0.0;1;-1.0;1;228;9;0.7;1;1253;9;-0.6;1;-0.2;1;1.7;1;;;;;1245;9;2.6;1;;;4.8;1;330;1;1508;9;8.2;1;310;1;1520;9;;;;;;;7.7;9;;;1520;9;;
01014002;ARBENT;46.278167;5.669000;534;20230127;0.0;1;-2.5;1;533;9;0.3;1;1345;9;-2.1;1;-1.1;1;2.8;1;;;;;1311;9;1.5;1;;;3.5;1;340;1;507;9;6.0;1;340;1;1625;9;;;;;;;5.7;9;;;1704;9;;
01014002;ARBENT;46.278167;5.669000;534;20230128;0.0;1;-10.6;1;653;9;1.8;1;1329;9;-3.2;1;-4.4;1;12.4;1;;;;;972;9;1.9;1;;;5.9;1;40;1;1349;9;10.4;1;30;1;1348;9;;;;;;;9.6;9;;;1348;9;;
01014002;ARBENT;46.278167;5.669000;534;20230129;0.0;1;-7.0;1;511;9;2.4;1;1308;9;-1.8;1;-2.3;1;9.4;1;;;;;1036;9;0.4;1;;;1.9;1;310;1;1332;9;3.6;1;310;1;1412;9;;;;;;;3.3;9;;;1412;9;;
01014002;ARBENT;46.278167;5.669000;534;20230130;0.0;1;-4.9;1;617;9;4.2;1;1345;9;-0.4;1;-0.4;1;9.1;1;;;;;982;9;1.5;1;;;3.4;1;320;1;1445;9;5.1;1;310;1;314;9;;;;;;;4.8;9;;;314;9;;
01014002;ARBENT;46.278167;5.669000;534;20230131;0.6;1;-6.9;1;647;9;6.5;1;1309;9;0.7;1;-0.2;1;13.4;1;;;;;562;9;0.9;1;;;4.3;1;330;1;1351;9;6.9;1;310;1;1327;9;;;;;;;6.5;9;;;1327;9;;
01014002;ARBENT;46.278167;5.669000;534;20230201;1.0;1;0.3;1;733;9;5.1;1;1501;9;2.2;1;2.7;1;4.8;1;;;;;0;9;0.7;1;;;2.2;1;320;1;445;9;3.4;1;310;1;1229;9;;;;;;;3.2;9;;;1229;9;;
01014002;ARBENT;46.278167;5.669000;534;20230202;0.0;1;0.6;1;57;9;7.0;1;1300;9;3.0;1;3.8;1;6.4;1;;;;;0;9;0.7;1;;;3.5;1;330;1;610;9;6.3;1;320;1;603;9;;;;;;;5.8;9;;;603;9;;
01014002;ARBENT;46.278167;5.669000;534;20230203;0.0;1;-3.4;1;656;9;8.6;1;1317;9;2.9;1;2.6;1;12.0;1;;;;;263;9;2.1;1;;;5.0;1;330;1;1229;9;8.9;1;310;1;1223;9;;;;;;;7.7;9;;;1223;9;;
01014002;ARBENT;46.278167;5.669000;534;20230204;0.0;1;-0.8;1;2026;9;10.9;1;1319;9;5.6;1;5.1;1;11.7;1;;;;;0;9;3.3;1;;;7.4;1;360;1;1530;9;12.3;1;350;1;1528;9;;;;;;;11.4;9;;;1528;9;;
01014002;ARBENT;46.278167;5.669000;534;20230205;2.0;1;-4.2;1;634;9;6.1;1;1447;9;1.3;1;1.0;1;10.3;1;;;;;495;9;2.2;1;;;5.7;1;350;1;1340;9;8.9;1;350;1;1332;9;;;;;;;8.4;9;;;1332;9;;
01014002;ARBENT;46.278167;5.669000;534;20230206;0.2;1;-4.5;1;713;9;8.1;1;1204;9;0.2;1;1.8;1;12.6;1;;;;;795;9;1.1;1;;;4.1;1;330;1;1727;9;6.8;1;30;1;1637;9;;;;;;;6.1;9;;;1807;9;;
01014002;ARBENT;46.278167;5.669000;534;20230207;0.0;1;-6.7;1;58;9;8.7;1;1403;9;-0.7;1;1.0;1;15.4;1;;;;;935;9;1.1;1;;;4.8;1;320;1;1506;9;7.0;1;310;1;1509;9;;;;;;;6.8;9;;;1509;9;;
01014002;ARBENT;46.278167;5.669000;534;20230208;0.0;1;-9.4;1;615;9;7.5;1;1440;9;-2.7;1;-1.0;1;16.9;1;;;;;984;9;1.0;1;;;4.4;1;140;1;1220;9;8.1;1;140;1;1218;9;;;;;;;7.2;9;;;1223;9;;
01014002;ARBENT;46.278167;5.669000;534;20230209;0.0;1;-8.6;1;713;9;7.7;1;1453;9;-3.0;1;-0.5;1;16.3;1;;;;;1030;9;1.0;1;;;3.0;1;260;1;1510;9;5.8;1;260;1;1504;9;;;;;;;5.3;9;;;1508;9;;
01014002;ARBENT;46.278167;5.669000;534;20230210;0.2;1;-10.3;1;702;9;6.8;1;1410;9;-2.8;1;-1.8;1;17.1;1;;;;;976;9;0.9;1;;;3.8;1;320;1;1217;9;5.9;1;310;1;1216;9;;;;;;;5.7;9;;;1216;9;;
01014002;ARBENT;46.278167;5.669000;534;20230211;0.0;1;-8.7;1;555;9;9.5;1;1443;9;-1.7;1;0.4;1;18.2;1;;;;;959;9;0.9;1;;;3.3;1;330;1;1103;9;5.1;1;320;1;1055;9;;;;;;;4.8;9;;;1055;9;;
01014002;ARBENT;46.278167;5.669000;534;20230212;0.0;1;-8.1;1;640;9;11.9;1;1419;9;-0.4;1;1.9;1;20.0;1;;;;;925;9;0.8;1;;;2.6;1;320;1;1310;9;4.2;1;320;1;1316;9;;;;;;;3.6;9;;;1305;9;;
01014002;ARBENT;46.278167;5.669000;534;20230213;0.0;1;-6.4;1;246;9;17.0;1;1325;9;2.0;1;5.3;1;23.4;1;;;;;808;9;1.4;1;;;3.7;1;330;1;1405;9;5.8;1;320;1;1356;9;;;;;;;5.3;9;;;1405;9;;
01014002;ARBENT;46.278167;5.669000;534;20230214;0.2;1;-6.3;1;632;9;17.0;1;1352;9;2.8;1;5.4;1;23.3;1;;;;;765;9;1.1;1;;;3.3;1;330;1;1357;9;5.3;1;320;1;1325;9;;;;;;;5.1;9;;;1325;9;;
01014002;ARBENT;46.278167;5.669000;534;20230215;0.0;1;-6.2;1;627;9;16.8;1;1334;9;2.9;1;5.3;1;23.0;1;;;;;720;9;1.1;1;;;4.3;1;300;1;1412;9;6.1;1;300;1;1408;9;;;;;;;5.7;9;;;1408;9;;
01014002;ARBENT;46.278167;5.669000;534;20230216;0.2;1;-6.4;1;551;9;15.6;1;1304;9;3.3;1;4.6;1;22.0;1;;;;;604;9;0.9;1;;;3.3;1;310;1;1412;9;6.1;1;320;1;1418;9;;;;;;;5.6;9;;;1418;9;;
01014002;ARBENT;46.278167;5.669000;534;20230217;0.4;1;-1.4;1;2009;9;13.4;1;1127;9;6.6;1;6.0;1;14.8;1;;;;;69;9;0.7;1;;;2.8;1;330;1;1039;9;4.4;1;330;1;1035;9;;;;;;;4.2;9;;;1035;9;;
01014002;ARBENT;46.278167;5.669000;534;20230218;0.0;1;5.9;1;1745;9;14.5;1;1408;9;8.4;1;10.2;1;8.6;1;;;;;0;9;0.7;1;;;2.5;1;330;1;1116;9;4.5;1;320;1;1300;9;;;;;;;4.1;9;;;1259;9;;
01014002;ARBENT;46.278167;5.669000;534;20230219;0.0;1;3.1;1;1902;9;10.3;1;1244;9;6.6;1;6.7;1;7.2;1;;;;;57;9;1.2;1;;;4.5;1;350;1;1830;9;7.1;1;360;1;1830;9;;;;;;;6.6;9;;;1830;9;;
01014002;ARBENT;46.278167;5.669000;534;20230220;0.0;1;-3.2;1;625;9;15.4;1;1505;9;4.2;1;6.1;1;18.6;1;;;;;565;9;0.9;1;;;2.6;1;290;1;1512;9;6.3;1;270;1;1508;9;;;;;;;5.7;9;;;1509;9;;
01014002;ARBENT;46.278167;5.669000;534;20230221;0.0;1;-4.2;1;527;9;17.3;1;1423;9;4.8;1;6.6;1;21.5;1;;;;;570;9;1.0;1;;;3.3;1;320;1;1118;9;5.2;1;320;1;1340;9;;;;;;;4.9;9;;;1340;9;;
01014002;ARBENT;46.278167;5.669000;534;20230222;1.8;1;-2.8;1;427;9;9.0;1;1239;9;3.9;1;3.1;1;11.8;1;;;;;452;9;0.7;1;;;2.0;1;320;1;1556;9;2.7;1;320;1;1554;9;;;;;;;2.5;9;;;1554;9;;
01014002;ARBENT;46.278167;5.669000;534;20230223;9.8;1;4.9;1;658;9;14.2;1;1248;9;8.2;1;9.6;1;9.3;1;;;;;0;9;1.1;1;;;3.2;1;200;1;1143;9;6.6;1;190;1;1143;9;;;;;;;5.4;9;;;1143;9;;
01014002;ARBENT;46.278167;5.669000;534;20230224;3.6;1;2.7;1;634;9;15.3;1;1345;9;7.9;1;9.0;1;12.6;1;;;;;0;9;1.1;1;;;3.3;1;210;1;1718;9;7.0;1;210;1;1715;9;;;;;;;6.1;9;;;1715;9;;
01014002;ARBENT;46.278167;5.669000;534;20230225;0.0;1;1.2;1;652;9;9.6;1;1245;9;4.1;1;5.4;1;8.4;1;;;;;145;9;3.1;1;;;7.7;1;350;1;1554;9;11.5;1;360;1;1517;9;;;;;;;11.1;9;;;1553;9;;
01014002;ARBENT;46.278167;5.669000;534;20230226;0.0;1;-5.3;1;326;9;3.2;1;1318;9;-0.2;1;-1.1;1;8.5;1;;;;;623;9;6.5;1;;;12.6;1;10;1;1540;9;25.5;1;40;1;1549;9;;;;;;;23.0;9;;;1549;9;;
01014002;ARBENT;46.278167;5.669000;534;20230227;0.0;1;-6.6;1;637;9;7.9;1;1353;9;-0.4;1;0.7;1;14.5;1;;;;;827;9;1.6;1;;;6.3;1;320;1;1545;9;9.4;1;320;1;1543;9;;;;;;;8.9;9;;;1543;9;;
01014002;ARBENT;46.278167;5.669000;534;20230228;0.0;1;-8.6;1;515;9;5.5;1;1343;9;-2.7;1;-1.6;1;14.1;1;;;;;962;9;1.1;1;;;4.8;1;320;1;1634;9;7.4;1;320;1;1546;9;;;;;;;7.0;9;;;1546;9;;
01014002;ARBENT;46.278167;5.669000;534;20230301;0.0;1;-9.2;1;623;9;6.1;1;1340;9;-0.9;1;-1.6;1;15.3;1;;;;;611;9;1.2;1;;;3.5;1;300;1;1406;9;7.2;1;300;1;1359;9;;;;;;;6.9;9;;;1359;9;;
01014002;ARBENT;46.278167;5.669000;534;20230302;0.0;1;-4.4;1;47;9;9.0;1;1548;9;1.2;1;2.3;1;13.4;1;;;;;785;9;1.1;1;;;3.7;1;320;1;1213;9;7.3;1;320;1;1200;9;;;;;;;6.1;9;;;1200;9;;
01014002;ARBENT;46.278167;5.669000;534;20230303;0.0;1;-8.0;1;622;9;7.8;1;1309;9;0.7;1;-0.1;1;15.8;1;;;;;518;9;1.2;1;;;4.8;1;330;1;1447;9;7.0;1;310;1;1440;9;;;;;;;6.5;9;;;1440;9;;
01014002;ARBENT;46.278167;5.669000;534;20230304;0.0;1;0.8;1;17;9;11.3;1;1338;9;3.6;1;6.1;1;10.5;1;;;;;250;9;1.6;1;;;5.7;1;320;1;1313;9;14.8;1;330;1;1248;9;;;;;;;11.7;9;;;1248;9;;
01014002;ARBENT;46.278167;5.669000;534;20230305;0.0;1;-7.9;1;636;9;9.4;1;1357;9;-0.4;1;0.8;1;17.3;1;;;;;844;9;1.1;1;;;4.0;1;320;1;1530;9;6.3;1;320;1;1420;9;;;;;;;6.0;9;;;1420;9;;
01014002;ARBENT;46.278167;5.669000;534;20230306;0.2;1;-8.3;1;558;9;9.6;1;1309;9;0.4;1;0.7;1;17.9;1;;;;;622;9;1.1;1;;;3.9;1;300;1;1520;9;7.5;1;300;1;1313;9;;;;;;;6.9;9;;;1313;9;;
01014002;ARBENT;46.278167;5.669000;534;20230307;0.6;1;-4.8;1;644;9;8.6;1;1237;9;2.1;1;1.9;1;13.4;1;;;;;433;9;1.2;1;;;4.5;1;220;1;1247;9;9.3;1;210;1;1255;9;;;;;;;8.3;9;;;1253;9;;
01014002;ARBENT;46.278167;5.669000;534;20230308;4.7;1;-2.8;1;151;9;12.3;1;43;9;7.7;1;4.8;1;15.1;1;;;;;205;9;4.6;1;;;8.0;1;160;1;1348;9;16.0;1;190;9;2112;9;;;;;;;14.8;9;;;2112;9;;1
01014002;ARBENT;46.278167;5.669000;534;20230309;5.2;1;7.7;1;635;9;16.7;1;1224;9;11.6;1;12.2;1;9.0;1;;;;;0;9;3.4;1;;;7.2;1;180;1;42;9;18.5;1;200;1;42;9;;;;;;;15.8;9;;;42;9;;
01014002;ARBENT;46.278167;5.669000;534;20230310;25.4;1;5.6;1;1757;9;9.8;1;1436;9;7.3;1;7.7;1;4.2;1;;;;;0;9;3.2;1;;;8.2;1;150;1;318;9;16.7;1;150;1;327;9;;;;;;;14.4;9;;;327;9;;
01014002;ARBENT;46.278167;5.669000;534;20230311;8.8;1;2.7;1;330;9;8.4;1;1313;9;5.8;1;5.6;1;5.7;1;;;;;0;9;1.3;1;;;3.7;1;320;1;942;9;5.5;1;320;1;506;9;;;;;;;5.3;9;;;506;9;;
01014002;ARBENT;46.278167;5.669000;534;20230312;2.2;1;6.7;1;149;9;14.5;1;1439;9;8.7;1;10.6;1;7.8;1;;;;;0;9;1.8;1;;;4.8;1;220;1;1227;9;10.3;1;190;1;1227;9;;;;;;;8.9;9;;;1221;9;;
01014002;ARBENT;46.278167;5.669000;534;20230313;19.1;1;3.4;1;2109;9;22.5;1;1417;9;13.5;1;13.0;1;19.1;1;;;;;0;9;4.1;1;;;9.7;1;180;1;1804;9;21.3;1;170;1;1757;9;;;;;;;18.8;9;;;1757;9;;
01014002;ARBENT;46.278167;5.669000;534;20230314;13.0;1;4.9;1;1419;9;8.7;1;1204;9;6.2;1;6.8;1;3.8;1;;;;;0;9;2.9;1;;;7.2;1;190;1;751;9;15.4;1;240;1;917;9;;;;;;;13.1;9;;;504;9;;
01014002;ARBENT;46.278167;5.669000;534;20230315;0.0;1;-3.1;1;522;9;10.4;1;1457;9;2.3;1;3.7;1;13.5;1;;;;;667;9;1.3;1;;;4.5;1;320;1;1543;9;7.1;1;310;1;1514;9;;;;;;;6.7;9;;;1514;9;;
01014002;ARBENT;46.278167;5.669000;534;20230316;0.0;1;-4.5;1;317;9;16.4;1;1501;9;7.3;1;6.0;1;20.9;1;;;;;437;9;2.8;1;;;7.0;1;140;1;1136;9;13.1;1;200;9;2034;9;;;;;;;12.2;9;;;2034;9;;
01014002;ARBENT;46.278167;5.669000;534;20230317;0.0;1;8.6;1;358;9;18.8;1;1345;9;12.2;1;13.7;1;10.2;1;;;;;0;9;4.6;1;;;6.7;1;210;1;1324;9;14.9;1;230;1;1042;9;;;;;;;12.4;9;;;1042;9;;
